state,state_name,polymarket_event_id,polymarket_event_slug,polymarket_event_title,polymarket_event_url,polymarket_market_id,polymarket_market_slug,polymarket_market_question,polymarket_market_url,polymarket_embed_url,market_entity_name,market_entity_type,market_party_normalized,yes_probability,no_probability,last_trade_price,best_bid,best_ask,volume,liquidity,active,closed,event_updated_at,data_pulled_at,matched_fec_candidate_id,matched_candidate_name,matched_party,matched_party_normalized,candidate_match_status,candidate_match_count,candidate_match_candidates
CO,Colorado,57640,colorado-senate-election-winner,Colorado Senate Election Winner,https://polymarket.com/event/colorado-senate-election-winner,630667,will-the-republicans-win-the-colorado-senate-race-in-2026,Will the Republicans win the Colorado Senate race in 2026?,https://polymarket.com/event/colorado-senate-election-winner#630667,https://embed.polymarket.com/market?market=will-the-republicans-win-the-colorado-senate-race-in-2026&height=300,Republican,party,REP,0.09,0.91,0.09,0.08,0.1,26031.000431,14780.77,True,False,2026-05-03T09:50:07.463631Z,2026-05-03T09:51:06.816503+00:00,,,Republican,REP,party_market_waiting_for_selected_file,0,
DE,Delaware,57641,delaware-senate-election-winner,Delaware Senate Election Winner,https://polymarket.com/event/delaware-senate-election-winner,630679,will-the-democrats-win-the-delaware-senate-race-in-2026,Will the Democrats win the Delaware Senate race in 2026?,https://polymarket.com/event/delaware-senate-election-winner#630679,https://embed.polymarket.com/market?market=will-the-democrats-win-the-delaware-senate-race-in-2026&height=300,Democrat,party,DEM,0.925,0.075,0.93,0.92,0.93,7342.040472000005,13421.8385,True,False,2026-05-03T09:50:15.864183Z,2026-05-03T09:51:06.816542+00:00,,,Democrat,DEM,party_market_waiting_for_selected_file,0,
DE,Delaware,57641,delaware-senate-election-winner,Delaware Senate Election Winner,https://polymarket.com/event/delaware-senate-election-winner,630680,will-the-republicans-win-the-delaware-senate-race-in-2026,Will the Republicans win the Delaware Senate race in 2026?,https://polymarket.com/event/delaware-senate-election-winner#630680,https://embed.polymarket.com/market?market=will-the-republicans-win-the-delaware-senate-race-in-2026&height=300,Republican,party,REP,0.06,0.94,0.06,0.05,0.07,4183.719833999999,12725.8646,True,False,2026-05-03T09:50:15.864183Z,2026-05-03T09:51:06.816557+00:00,,,Republican,REP,party_market_waiting_for_selected_file,0,
FL,Florida,57681,florida-senate-election-winner,Florida Senate Election Winner,https://polymarket.com/event/florida-senate-election-winner,631045,will-the-republicans-win-the-florida-senate-race-in-2026,Will the Republicans win the Florida Senate race in 2026?,https://polymarket.com/event/florida-senate-election-winner#631045,https://embed.polymarket.com/market?market=will-the-republicans-win-the-florida-senate-race-in-2026&height=300,Republican,party,REP,0.81,0.19,0.76,0.8,0.82,19115.490781000015,10451.1114,True,False,2026-05-03T09:50:12.959938Z,2026-05-03T09:51:06.816592+00:00,,,Republican,REP,party_market_waiting_for_selected_file,0,
FL,Florida,57681,florida-senate-election-winner,Florida Senate Election Winner,https://polymarket.com/event/florida-senate-election-winner,631044,will-the-democrats-win-the-florida-senate-race-in-2026,Will the Democrats win the Florida Senate race in 2026?,https://polymarket.com/event/florida-senate-election-winner#631044,https://embed.polymarket.com/market?market=will-the-democrats-win-the-florida-senate-race-in-2026&height=300,Democrat,party,DEM,0.18,0.82,0.29,0.16,0.2,17124.372785999996,11701.9322,True,False,2026-05-03T09:50:12.959938Z,2026-05-03T09:51:06.816578+00:00,,,Democrat,DEM,party_market_waiting_for_selected_file,0,
GA,Georgia,57642,georgia-senate-election-winner,Georgia Senate Election Winner,https://polymarket.com/event/georgia-senate-election-winner,630692,will-the-democrats-win-the-georgia-senate-race-in-2026,Will the Democrats win the Georgia Senate race in 2026?,https://polymarket.com/event/georgia-senate-election-winner#630692,https://embed.polymarket.com/market?market=will-the-democrats-win-the-georgia-senate-race-in-2026&height=300,Democrat,party,DEM,0.84,0.16,0.79,0.83,0.85,8952.356301000002,12251.7992,True,False,2026-05-03T09:50:15.48694Z,2026-05-03T09:51:06.816627+00:00,,,Democrat,DEM,party_market_waiting_for_selected_file,0,
GA,Georgia,57642,georgia-senate-election-winner,Georgia Senate Election Winner,https://polymarket.com/event/georgia-senate-election-winner,630693,will-the-republicans-win-the-georgia-senate-race-in-2026,Will the Republicans win the Georgia Senate race in 2026?,https://polymarket.com/event/georgia-senate-election-winner#630693,https://embed.polymarket.com/market?market=will-the-republicans-win-the-georgia-senate-race-in-2026&height=300,Republican,party,REP,0.1475,0.8525,0.171,0.135,0.16,15034.871756000004,16796.02066,True,False,2026-05-03T09:50:15.48694Z,2026-05-03T09:51:06.816614+00:00,,,Republican,REP,party_market_waiting_for_selected_file,0,
IA,Iowa,57647,iowa-senate-election-winner,Iowa Senate Election Winner,https://polymarket.com/event/iowa-senate-election-winner,630734,will-the-republicans-win-the-iowa-senate-race-in-2026,Will the Republicans win the Iowa Senate race in 2026?,https://polymarket.com/event/iowa-senate-election-winner#630734,https://embed.polymarket.com/market?market=will-the-republicans-win-the-iowa-senate-race-in-2026&height=300,Republican,party,REP,0.605,0.395,0.61,0.6,0.61,51866.32212800015,25569.7423,True,False,2026-05-03T09:50:10.213371Z,2026-05-03T09:51:06.816894+00:00,,,Republican,REP,party_market_waiting_for_selected_file,0,
IA,Iowa,57647,iowa-senate-election-winner,Iowa Senate Election Winner,https://polymarket.com/event/iowa-senate-election-winner,630733,will-the-democrats-win-the-iowa-senate-race-in-2026,Will the Democrats win the Iowa Senate race in 2026?,https://polymarket.com/event/iowa-senate-election-winner#630733,https://embed.polymarket.com/market?market=will-the-democrats-win-the-iowa-senate-race-in-2026&height=300,Democrat,party,DEM,0.405,0.595,0.4,0.4,0.41,61614.84068700017,28970.2597,True,False,2026-05-03T09:50:10.213371Z,2026-05-03T09:51:06.816761+00:00,,,Democrat,DEM,party_market_waiting_for_selected_file,0,
ID,Idaho,57643,idaho-senate-election-winner,Idaho Senate Election Winner,https://polymarket.com/event/idaho-senate-election-winner,630706,will-the-republicans-win-the-idaho-senate-race-in-2026,Will the Republicans win the Idaho Senate race in 2026?,https://polymarket.com/event/idaho-senate-election-winner#630706,https://embed.polymarket.com/market?market=will-the-republicans-win-the-idaho-senate-race-in-2026&height=300,Republican,party,REP,0.915,0.085,0.91,0.9,0.93,10591.102478000004,11911.4481,True,False,2026-05-03T09:50:22.137963Z,2026-05-03T09:51:06.816647+00:00,,,Republican,REP,party_market_waiting_for_selected_file,0,
ID,Idaho,57643,idaho-senate-election-winner,Idaho Senate Election Winner,https://polymarket.com/event/idaho-senate-election-winner,630705,will-the-democrats-win-the-idaho-senate-race-in-2026,Will the Democrats win the Idaho Senate race in 2026?,https://polymarket.com/event/idaho-senate-election-winner#630705,https://embed.polymarket.com/market?market=will-the-democrats-win-the-idaho-senate-race-in-2026&height=300,Democrat,party,DEM,0.085,0.915,0.06,0.08,0.09,4733.048266999998,12333.7055,True,False,2026-05-03T09:50:22.137963Z,2026-05-03T09:51:06.816660+00:00,,,Democrat,DEM,party_market_waiting_for_selected_file,0,
IL,Illinois,57646,illinois-senate-election-winner,Illinois Senate Election Winner,https://polymarket.com/event/illinois-senate-election-winner,630720,will-the-democrats-win-the-illinois-senate-race-in-2026,Will the Democrats win the Illinois Senate race in 2026?,https://polymarket.com/event/illinois-senate-election-winner#630720,https://embed.polymarket.com/market?market=will-the-democrats-win-the-illinois-senate-race-in-2026&height=300,Democrat,party,DEM,0.925,0.075,0.91,0.92,0.93,11432.247535000002,12320.8082,True,False,2026-05-03T09:50:12.745959Z,2026-05-03T09:51:06.816680+00:00,,,Democrat,DEM,party_market_waiting_for_selected_file,0,
IL,Illinois,57646,illinois-senate-election-winner,Illinois Senate Election Winner,https://polymarket.com/event/illinois-senate-election-winner,630721,will-the-republicans-win-the-illinois-senate-race-in-2026,Will the Republicans win the Illinois Senate race in 2026?,https://polymarket.com/event/illinois-senate-election-winner#630721,https://embed.polymarket.com/market?market=will-the-republicans-win-the-illinois-senate-race-in-2026&height=300,Republican,party,REP,0.041,0.959,0.01,0.013,0.069,10814.028814999989,693.73558,True,False,2026-05-03T09:50:12.745959Z,2026-05-03T09:51:06.816693+00:00,,,Republican,REP,party_market_waiting_for_selected_file,0,
KS,Kansas,57648,kansas-senate-election-winner,Kansas Senate Election Winner,https://polymarket.com/event/kansas-senate-election-winner,630747,will-the-republicans-win-the-kansas-senate-race-in-2026,Will the Republicans win the Kansas Senate race in 2026?,https://polymarket.com/event/kansas-senate-election-winner#630747,https://embed.polymarket.com/market?market=will-the-republicans-win-the-kansas-senate-race-in-2026&height=300,Republican,party,REP,0.805,0.195,0.8,0.8,0.81,14439.34406299999,12628.1756,True,False,2026-05-03T09:50:13.825582Z,2026-05-03T09:51:06.817074+00:00,,,Republican,REP,party_market_waiting_for_selected_file,0,
KS,Kansas,57648,kansas-senate-election-winner,Kansas Senate Election Winner,https://polymarket.com/event/kansas-senate-election-winner,630746,will-the-democrats-win-the-kansas-senate-race-in-2026,Will the Democrats win the Kansas Senate race in 2026?,https://polymarket.com/event/kansas-senate-election-winner#630746,https://embed.polymarket.com/market?market=will-the-democrats-win-the-kansas-senate-race-in-2026&height=300,Democrat,party,DEM,0.2,0.8,0.2,0.19,0.21,10737.143543999997,13719.5976,True,False,2026-05-03T09:50:13.825582Z,2026-05-03T09:51:06.817130+00:00,,,Democrat,DEM,party_market_waiting_for_selected_file,0,
KY,Kentucky,57649,kentucky-senate-election-winner,Kentucky Senate Election Winner,https://polymarket.com/event/kentucky-senate-election-winner,630760,will-the-republicans-win-the-kentucky-senate-race-in-2026,Will the Republicans win the Kentucky Senate race in 2026?,https://polymarket.com/event/kentucky-senate-election-winner#630760,https://embed.polymarket.com/market?market=will-the-republicans-win-the-kentucky-senate-race-in-2026&height=300,Republican,party,REP,0.94,0.06,0.92,0.93,0.95,3024.7066240000004,12650.6639,True,False,2026-05-03T09:50:18.396578Z,2026-05-03T09:51:06.817171+00:00,,,Republican,REP,party_market_waiting_for_selected_file,0,
KY,Kentucky,57649,kentucky-senate-election-winner,Kentucky Senate Election Winner,https://polymarket.com/event/kentucky-senate-election-winner,630759,will-the-democrats-win-the-kentucky-senate-race-in-2026,Will the Democrats win the Kentucky Senate race in 2026?,https://polymarket.com/event/kentucky-senate-election-winner#630759,https://embed.polymarket.com/market?market=will-the-democrats-win-the-kentucky-senate-race-in-2026&height=300,Democrat,party,DEM,0.029,0.971,0.09,0.02,0.038,3515.821370999999,4719.85881,True,False,2026-05-03T09:50:18.396578Z,2026-05-03T09:51:06.817156+00:00,,,Democrat,DEM,party_market_waiting_for_selected_file,0,
LA,Louisiana,59203,louisiana-senate-election-winner,Louisiana Senate Election Winner,https://polymarket.com/event/louisiana-senate-election-winner,634879,will-the-republicans-win-the-louisiana-senate-race-in-2026,Will the Republicans win the Louisiana Senate race in 2026?,https://polymarket.com/event/louisiana-senate-election-winner#634879,https://embed.polymarket.com/market?market=will-the-republicans-win-the-louisiana-senate-race-in-2026&height=300,Republican,party,REP,0.91,0.09,0.9,0.9,0.92,3577.6547710000013,11367.2364,True,False,2026-05-03T09:50:17.834738Z,2026-05-03T09:51:06.817205+00:00,,,Republican,REP,party_market_waiting_for_selected_file,0,
LA,Louisiana,59203,louisiana-senate-election-winner,Louisiana Senate Election Winner,https://polymarket.com/event/louisiana-senate-election-winner,634878,will-the-democrats-win-the-louisiana-senate-race-in-2026,Will the Democrats win the Louisiana Senate race in 2026?,https://polymarket.com/event/louisiana-senate-election-winner#634878,https://embed.polymarket.com/market?market=will-the-democrats-win-the-louisiana-senate-race-in-2026&height=300,Democrat,party,DEM,0.08,0.92,0.07,0.07,0.09,2561.235766,13700.0121,True,False,2026-05-03T09:50:17.834738Z,2026-05-03T09:51:06.817193+00:00,,,Democrat,DEM,party_market_waiting_for_selected_file,0,
MA,Massachusetts,57655,massachusetts-senate-election-winner,Massachusetts Senate Election Winner,https://polymarket.com/event/massachusetts-senate-election-winner,630790,will-the-democrats-win-the-massachusetts-senate-race-in-2026,Will the Democrats win the Massachusetts Senate race in 2026?,https://polymarket.com/event/massachusetts-senate-election-winner#630790,https://embed.polymarket.com/market?market=will-the-democrats-win-the-massachusetts-senate-race-in-2026&height=300,Democrat,party,DEM,0.945,0.055,0.95,0.94,0.95,8328.416465,14768.7747,True,False,2026-05-03T09:50:09.321898Z,2026-05-03T09:51:06.817343+00:00,,,Democrat,DEM,party_market_waiting_for_selected_file,0,
MA,Massachusetts,57655,massachusetts-senate-election-winner,Massachusetts Senate Election Winner,https://polymarket.com/event/massachusetts-senate-election-winner,630791,will-the-republicans-win-the-massachusetts-senate-race-in-2026,Will the Republicans win the Massachusetts Senate race in 2026?,https://polymarket.com/event/massachusetts-senate-election-winner#630791,https://embed.polymarket.com/market?market=will-the-republicans-win-the-massachusetts-senate-race-in-2026&height=300,Republican,party,REP,0.04,0.96,0.04,0.03,0.05,4603.103945999999,7309.7712,True,False,2026-05-03T09:50:09.321898Z,2026-05-03T09:51:06.817360+00:00,,,Republican,REP,party_market_waiting_for_selected_file,0,
ME,Maine,57650,maine-senate-election-winner,Maine Senate Election Winner,https://polymarket.com/event/maine-senate-election-winner,630772,will-the-democrats-win-the-maine-senate-race-in-2026,Will the Democrats win the Maine Senate race in 2026?,https://polymarket.com/event/maine-senate-election-winner#630772,https://embed.polymarket.com/market?market=will-the-democrats-win-the-maine-senate-race-in-2026&height=300,Democrat,party,DEM,0.715,0.285,0.72,0.71,0.72,59442.463975999905,316738.0004,True,False,2026-05-03T09:47:06.001666Z,2026-05-03T09:51:06.817259+00:00,,,Democrat,DEM,party_market_waiting_for_selected_file,0,
ME,Maine,57650,maine-senate-election-winner,Maine Senate Election Winner,https://polymarket.com/event/maine-senate-election-winner,630773,will-the-republicans-win-the-maine-senate-race-in-2026,Will the Republicans win the Maine Senate race in 2026?,https://polymarket.com/event/maine-senate-election-winner#630773,https://embed.polymarket.com/market?market=will-the-republicans-win-the-maine-senate-race-in-2026&height=300,Republican,party,REP,0.295,0.705,0.29,0.29,0.3,57069.455517,294260.5699,True,False,2026-05-03T09:47:06.001666Z,2026-05-03T09:51:06.817304+00:00,,,Republican,REP,party_market_waiting_for_selected_file,0,
MI,Michigan,57658,michigan-senate-election-winner,Michigan Senate Election Winner,https://polymarket.com/event/michigan-senate-election-winner,630805,will-the-democrats-win-the-michigan-senate-race-in-2026,Will the Democrats win the Michigan Senate race in 2026?,https://polymarket.com/event/michigan-senate-election-winner#630805,https://embed.polymarket.com/market?market=will-the-democrats-win-the-michigan-senate-race-in-2026&height=300,Democrat,party,DEM,0.765,0.235,0.77,0.76,0.77,79241.63443200004,12706.1436,True,False,2026-05-03T09:50:16.697102Z,2026-05-03T09:51:06.817403+00:00,,,Democrat,DEM,party_market_waiting_for_selected_file,0,
MI,Michigan,57658,michigan-senate-election-winner,Michigan Senate Election Winner,https://polymarket.com/event/michigan-senate-election-winner,630806,will-the-republicans-win-the-michigan-senate-race-in-2026,Will the Republicans win the Michigan Senate race in 2026?,https://polymarket.com/event/michigan-senate-election-winner#630806,https://embed.polymarket.com/market?market=will-the-republicans-win-the-michigan-senate-race-in-2026&height=300,Republican,party,REP,0.23,0.77,0.22,0.22,0.24,27272.391968000007,14169.1986,True,False,2026-05-03T09:50:16.697102Z,2026-05-03T09:51:06.817382+00:00,,,Republican,REP,party_market_waiting_for_selected_file,0,
MN,Minnesota,57659,minnesota-senate-election-winner,Minnesota Senate Election Winner,https://polymarket.com/event/minnesota-senate-election-winner,630818,will-the-democrats-win-the-minnesota-senate-race-in-2026,Will the Democrats win the Minnesota Senate race in 2026?,https://polymarket.com/event/minnesota-senate-election-winner#630818,https://embed.polymarket.com/market?market=will-the-democrats-win-the-minnesota-senate-race-in-2026&height=300,Democrat,party,DEM,0.9,0.1,0.88,0.89,0.91,16342.708355999988,12939.426,True,False,2026-05-03T09:50:15.81927Z,2026-05-03T09:51:06.817632+00:00,,,Democrat,DEM,party_market_waiting_for_selected_file,0,
MN,Minnesota,57659,minnesota-senate-election-winner,Minnesota Senate Election Winner,https://polymarket.com/event/minnesota-senate-election-winner,630819,will-the-republicans-win-the-minnesota-senate-race-in-2026,Will the Republicans win the Minnesota Senate race in 2026?,https://polymarket.com/event/minnesota-senate-election-winner#630819,https://embed.polymarket.com/market?market=will-the-republicans-win-the-minnesota-senate-race-in-2026&height=300,Republican,party,REP,0.055,0.945,0.07,0.04,0.07,6670.346428000004,12467.6541,True,False,2026-05-03T09:50:15.81927Z,2026-05-03T09:51:06.817554+00:00,,,Republican,REP,party_market_waiting_for_selected_file,0,
MS,Mississippi,57678,mississippi-senate-election-winner,Mississippi Senate Election Winner,https://polymarket.com/event/mississippi-senate-election-winner,631018,will-the-republicans-win-the-mississippi-senate-race-in-2026,Will the Republicans win the Mississippi Senate race in 2026?,https://polymarket.com/event/mississippi-senate-election-winner#631018,https://embed.polymarket.com/market?market=will-the-republicans-win-the-mississippi-senate-race-in-2026&height=300,Republican,party,REP,0.87,0.13,0.87,0.86,0.88,14726.267393,12994.6034,True,False,2026-05-03T09:50:07.539148Z,2026-05-03T09:51:06.817715+00:00,,,Republican,REP,party_market_waiting_for_selected_file,0,
MS,Mississippi,57678,mississippi-senate-election-winner,Mississippi Senate Election Winner,https://polymarket.com/event/mississippi-senate-election-winner,631017,will-the-democrats-win-the-mississippi-senate-race-in-2026,Will the Democrats win the Mississippi Senate race in 2026?,https://polymarket.com/event/mississippi-senate-election-winner#631017,https://embed.polymarket.com/market?market=will-the-democrats-win-the-mississippi-senate-race-in-2026&height=300,Democrat,party,DEM,0.13,0.87,0.14,0.12,0.14,6873.945036000003,12629.6838,True,False,2026-05-03T09:50:07.539148Z,2026-05-03T09:51:06.817735+00:00,,,Democrat,DEM,party_market_waiting_for_selected_file,0,
MT,Montana,57660,montana-senate-election-winner,Montana Senate Election Winner,https://polymarket.com/event/montana-senate-election-winner,630832,will-the-republicans-win-the-montana-senate-race-in-2026,Will the Republicans win the Montana Senate race in 2026?,https://polymarket.com/event/montana-senate-election-winner#630832,https://embed.polymarket.com/market?market=will-the-republicans-win-the-montana-senate-race-in-2026&height=300,Republican,party,REP,0.795,0.205,0.81,0.79,0.8,37323.863484000016,11700.3214,True,False,2026-05-03T09:50:13.657213Z,2026-05-03T09:51:06.817808+00:00,,,Republican,REP,party_market_waiting_for_selected_file,0,
MT,Montana,57660,montana-senate-election-winner,Montana Senate Election Winner,https://polymarket.com/event/montana-senate-election-winner,630833,will-an-independent-win-the-montana-senate-race-in-2026,Will an independent win the Montana Senate race in 2026?,https://polymarket.com/event/montana-senate-election-winner#630833,https://embed.polymarket.com/market?market=will-an-independent-win-the-montana-senate-race-in-2026&height=300,Independent,party,OTHER,0.1325,0.8675,,0.126,0.139,345.52924,12047.28365,True,False,2026-05-03T09:50:13.657213Z,2026-05-03T09:51:06.817777+00:00,,,Independent,OTHER,party_market_waiting_for_selected_file,0,
MT,Montana,57660,montana-senate-election-winner,Montana Senate Election Winner,https://polymarket.com/event/montana-senate-election-winner,630831,will-the-democrats-win-the-montana-senate-race-in-2026,Will the Democrats win the Montana Senate race in 2026?,https://polymarket.com/event/montana-senate-election-winner#630831,https://embed.polymarket.com/market?market=will-the-democrats-win-the-montana-senate-race-in-2026&height=300,Democrat,party,DEM,0.068,0.932,0.073,0.063,0.073,31864.51863299999,14494.30324,True,False,2026-05-03T09:50:13.657213Z,2026-05-03T09:51:06.817762+00:00,,,Democrat,DEM,party_market_waiting_for_selected_file,0,
NC,North Carolina,57664,north-carolina-senate-election-winner,North Carolina Senate Election Winner,https://polymarket.com/event/north-carolina-senate-election-winner,630883,will-the-democrats-win-the-north-carolina-senate-race-in-2026,Will the Democrats win the North Carolina Senate race in 2026?,https://polymarket.com/event/north-carolina-senate-election-winner#630883,https://embed.polymarket.com/market?market=will-the-democrats-win-the-north-carolina-senate-race-in-2026&height=300,Democrat,party,DEM,0.855,0.145,0.86,0.85,0.86,19665.379586000003,13048.2347,True,False,2026-05-03T09:50:12.53256Z,2026-05-03T09:51:06.818249+00:00,,,Democrat,DEM,party_market_waiting_for_selected_file,0,
NC,North Carolina,57664,north-carolina-senate-election-winner,North Carolina Senate Election Winner,https://polymarket.com/event/north-carolina-senate-election-winner,630884,will-the-republicans-win-the-north-carolina-senate-race-in-2026,Will the Republicans win the North Carolina Senate race in 2026?,https://polymarket.com/event/north-carolina-senate-election-winner#630884,https://embed.polymarket.com/market?market=will-the-republicans-win-the-north-carolina-senate-race-in-2026&height=300,Republican,party,REP,0.145,0.855,0.14,0.14,0.15,31917.026662000004,14573.9975,True,False,2026-05-03T09:50:12.53256Z,2026-05-03T09:51:06.818291+00:00,,,Republican,REP,party_market_waiting_for_selected_file,0,
NE,Nebraska,59204,nebraska-senate-election-winner,Nebraska Senate Election Winner,https://polymarket.com/event/nebraska-senate-election-winner,634892,will-the-republicans-win-the-nebraska-senate-race-in-2026,Will the Republicans win the Nebraska Senate race in 2026?,https://polymarket.com/event/nebraska-senate-election-winner#634892,https://embed.polymarket.com/market?market=will-the-republicans-win-the-nebraska-senate-race-in-2026&height=300,Republican,party,REP,0.665,0.335,0.66,0.66,0.67,46391.12492900044,14071.3891,True,False,2026-05-03T09:50:17.870166Z,2026-05-03T09:51:06.817870+00:00,,,Republican,REP,party_market_waiting_for_selected_file,0,
