fec_candidate_id,candidate_name,committee_id,committee_name,designation,designation_full,committee_type,committee_type_full,is_principal
S0ID00172,"FLEMING, NATALIE M",C00726877,NATALIE M FLEMING FOR US SENATE,P,Principal campaign committee,S,Senate,True
S2CT00264,"FLYNN, JOHN J",C00709964,FLYNN 2024,A,Authorized by a candidate,S,Senate,False
S6NE00160,"FORBES, WILLIAM",C00943969,BILL FORBES FOR NEBRASKA,P,Principal campaign committee,S,Senate,True
S4PA00287,"FORKNER, WILLIAM",C00848002,FRIENDS OF WILLIAM FORKNER,P,Principal campaign committee,S,Senate,True
S6KY00328,"FORSYTHE, LOGAN",C00919811,LOGAN FOR KENTUCKY,P,Principal campaign committee,S,Senate,True
S8MN00438,"FRANKEN, AL",C00555748,"10,000 LAKES VICTORY 2014",J,Joint fundraising committee,N,PAC - Nonqualified,False
S8MN00438,"FRANKEN, AL",C00484014,4 SENATE VICTORY,J,Joint fundraising committee,N,PAC - Nonqualified,False
S8MN00438,"FRANKEN, AL",C00432278,AL FRANKEN FOR SENATE,A,Authorized by a candidate,S,Senate,False
S8MN00438,"FRANKEN, AL",C00570960,AL FRANKEN FOR SENATE,P,Principal campaign committee,S,Senate,True
S8MN00438,"FRANKEN, AL",C00480384,AL FRANKEN FOR SENATE 2014,A,Authorized by a candidate,S,Senate,False
S8MN00438,"FRANKEN, AL",C00449488,A NEW VOICE FOR MINNESOTA,J,Joint fundraising committee,N,PAC - Nonqualified,False
S8MN00438,"FRANKEN, AL",C00462085,BOXER-FRANKEN 2009,J,Joint fundraising committee,N,PAC - Nonqualified,False
S8MN00438,"FRANKEN, AL",C00446724,COMMITTEE FOR A BETTER FUTURE,J,Joint fundraising committee,N,PAC - Nonqualified,False
S8MN00438,"FRANKEN, AL",C00480814,FRANKEN MVPS,J,Joint fundraising committee,N,PAC - Nonqualified,False
