fec_candidate_id,candidate_name,committee_id,committee_name,designation,designation_full,committee_type,committee_type_full,is_principal
S2MT00096,"DAINES, STEVE",C00491357,STEVE DAINES FOR MONTANA,P,Principal campaign committee,S,Senate,True
S2MT00096,"DAINES, STEVE",C00568014,TILLIS COTTON SULLIVAN DAINES VICTORY FUND,J,Joint fundraising committee,S,Senate,False
S2MT00096,"DAINES, STEVE",C00568808,WESTERN STATES VICTORY COMMITTEE,J,Joint fundraising committee,S,Senate,False
S2MT00096,"DAINES, STEVE",C00582718,ZINKE DAINES VICTORY FUND 2016,J,Joint fundraising committee,N,PAC - Nonqualified,False
S4CO00452,"DALE, CLINTON ROOSEVELT",C00816520,COMMITTEE TO ELECT CLINTON R. DALE TO US SENATE,P,Principal campaign committee,S,Senate,True
S6VA00184,"DANIELS, LORITA DR.",C00925453,LORITA DANIELS FOR US SENATE,P,Principal campaign committee,S,Senate,True
S6NC00472,"DANSIE, RICHARD",C00929232,DANSIE FOR US SENATE,P,Principal campaign committee,S,Senate,True
S6SC04296,"DANS, PAUL",C00913624,PAUL DANS FOR SENATE,P,Principal campaign committee,S,Senate,True
S6KS00247,"DAVIS, CHRISTY",C00915934,CHRISTY DAVIS FOR KANSAS 2026,P,Principal campaign committee,S,Senate,True
S6LA00615,"DAVIS, JAMIE",C00929117,JAMIE DAVIS FOR U.S. SENATE,P,Principal campaign committee,S,Senate,True
S6MA00262,"DAWICKI, MORGAN GIFFORD",C00909663,CAMPAIGN FOR MORGAN G DAWICKI,P,Principal campaign committee,S,Senate,True
S4DC00035,"DEAN, BRANDAUN LEFRED MAYOR",C00835355,OUR FRIEND BRANDAUN | DOUGLASS COMMONWEALTH| U.S. SENATOR,P,Principal campaign committee,S,Senate,True
S6IL00623,"DEAN, JONATHAN",C00915280,DEAN FOR ILLINOIS,P,Principal campaign committee,S,Senate,True
S6MA00304,"DEATON, JOHN",C00926139,JOHN DEATON FOR SENATE,P,Principal campaign committee,S,Senate,True
S4MA00358,"DEATON, JOHN",C00870337,JOHN DEATON FOR SENATE INC.,P,Principal campaign committee,S,Senate,True
S6IL00607,"DELGADO, ADAM",C00914390,COMMITTEE TO ELECT ADAM DELGADO FOR US SENATE,P,Principal campaign committee,S,Senate,True
S4PA00246,"DEL MOORE, NICHOLAS D",C00829697,DEMOCRATIC NATIONAL COMMITTEE OF PENNSYLVANIA,P,Principal campaign committee,S,Senate,True
S2FL00631,"DEMINGS, VAL",C00590489,VDUSS PAC,U,Unauthorized,N,PAC - Nonqualified,False
S6LA00599,"DENDY, TRACY COLLENE",C00925925,TRACY DENDY FOR U.S. SENATE,P,Principal campaign committee,S,Senate,True
S6VA00226,"DE PAULA, ALEX",C00937904,ALEX DE PAULA FOR US SENATE,P,Principal campaign committee,S,Senate,True
S2NV00340,"DESTIN, JOSEPH JAMES",C00789594,"J.J. DESTIN FIXES CONGRESS CAMPAIGN, LLC",P,Principal campaign committee,S,Senate,True
S6AK00235,"DIENER, ANN",C00894113,ANN DIENER FOR SENATE,P,Principal campaign committee,S,Senate,True
S6SC04361,"DISMUKES, THOMAS KEITH",C00943746,THOMAS DISMUKES FOR SENATE,P,Principal campaign committee,S,Senate,True
S6NM01145,"DODSON, MATT",C00926444,MATT DODSON 4 THE 99 PERCENT,P,Principal campaign committee,S,Senate,True
S2OH00477,"DOLAN, MATT",C00831636,DOLAN FOR OHIO,P,Principal campaign committee,S,Senate,True
S2OH00477,"DOLAN, MATT",C00790386,DOLAN FOR OHIO22,A,Authorized by a candidate,S,Senate,False
S4NM00183,"DOMENICI, NELLA LOUISE LOUISE",C00865956,NELLA FOR SENATE,P,Principal campaign committee,S,Senate,True
S2IN00091,"DONNELLY, JOSEPH S",C00660639,2018 SENATE IMPACT,J,Joint fundraising committee,S,Senate,False
S2IN00091,"DONNELLY, JOSEPH S",C00631960,BLUE SENATE 2018,J,Joint fundraising committee,S,Senate,False
S2IN00091,"DONNELLY, JOSEPH S",C00523977,CT/IN/NM VICTORY FUND,J,Joint fundraising committee,S,Senate,False
S2IN00091,"DONNELLY, JOSEPH S",C00393652,DONNELLY FOR INDIANA,P,Principal campaign committee,S,Senate,True
S2IN00091,"DONNELLY, JOSEPH S",C00630202,DONNELLY VICTORY FUND,J,Joint fundraising committee,N,PAC - Nonqualified,False
S2IN00091,"DONNELLY, JOSEPH S",C00673293,HEIDI JOE VICTORY FUND,J,Joint fundraising committee,S,Senate,False
S2IN00091,"DONNELLY, JOSEPH S",C00519082,HOOSIERS FOR A BETTER INDIANA,J,Joint fundraising committee,N,PAC - Nonqualified,False
S2IN00091,"DONNELLY, JOSEPH S",C00506147,INDIANA SENATE 2012,J,Joint fundraising committee,N,PAC - Nonqualified,False
S2IN00091,"DONNELLY, JOSEPH S",C00501825,JARED POLIS VICTORY FUND 2012,J,Joint fundraising committee,N,PAC - Nonqualified,False
S2IN00091,"DONNELLY, JOSEPH S",C00633925,JUSTICE 2018,J,Joint fundraising committee,N,PAC - Nonqualified,False
S2IN00091,"DONNELLY, JOSEPH S",C00667501,SENATE 2018 IMPACT,J,Joint fundraising committee,S,Senate,False
S2IN00091,"DONNELLY, JOSEPH S",C00634360,SENATE IMPACT 2018,J,Joint fundraising committee,S,Senate,False
S2IN00091,"DONNELLY, JOSEPH S",C00679340,SENATE IMPACT: IN & MT 2018,J,Joint fundraising committee,S,Senate,False
S2IN00091,"DONNELLY, JOSEPH S",C00657569,SENATE IMPACT IN & WI,J,Joint fundraising committee,S,Senate,False
S2IN00091,"DONNELLY, JOSEPH S",C00635300,SENATE IMPACT: MO & IN,J,Joint fundraising committee,S,Senate,False
S6GA00408,"DOOLEY, DEREK",C00914531,DOOLEY FOR GEORGIA,P,Principal campaign committee,S,Senate,True
S8CA00671,"DOROTHY, DOMINICK J",C00852988,AMERICA STANDS,P,Principal campaign committee,S,Senate,True
S8MT00218,"DOWNING, TROY",C00640052,TROY DOWNING FOR US SENATE,P,Principal campaign committee,S,Senate,True
S2NY00382,"DRIGGERS, CALVIN",C00774265,CALVIN JOB D. DBA MR. LOGISTICS FOR CONGRESS,P,Principal campaign committee,S,Senate,True
S2FL00557,"DRIGGERS, CALVIN JOB",C00774265,CALVIN JOB D. DBA MR. LOGISTICS FOR CONGRESS,P,Principal campaign committee,S,Senate,True
S6IL00292,"DUCKWORTH, L. TAMMY",C00616979,2016 SENATE IMPACT,J,Joint fundraising committee,S,Senate,False
S6IL00292,"DUCKWORTH, L. TAMMY",C00620823,BLUE GREEN SENATE VICTORY,J,Joint fundraising committee,N,PAC - Nonqualified,False
S6IL00292,"DUCKWORTH, L. TAMMY",C00619932,BLUE SENATE 2016,J,Joint fundraising committee,S,Senate,False
S6IL00292,"DUCKWORTH, L. TAMMY",C00591263,BRING BACK SENSE TO THE SENATE 2016,J,Joint fundraising committee,N,PAC - Nonqualified,False
S6IL00292,"DUCKWORTH, L. TAMMY",C00618512,DEMOCRATIC SENATE VICTORY 2016,J,Joint fundraising committee,N,PAC - Nonqualified,False
S6IL00292,"DUCKWORTH, L. TAMMY",C00587378,ILLINOIS MISSOURI VICTORY 2016,J,Joint fundraising committee,S,Senate,False
S6IL00292,"DUCKWORTH, L. TAMMY",C00619551,ILLINOIS NEVADA SENATE VICTORY,J,Joint fundraising committee,S,Senate,False
S6IL00292,"DUCKWORTH, L. TAMMY",C00582817,ILLINOIS VICTORY 2016,J,Joint fundraising committee,N,PAC - Nonqualified,False
S6IL00292,"DUCKWORTH, L. TAMMY",C00621003,IL NH VICTORY FUND,J,Joint fundraising committee,S,Senate,False
S6IL00292,"DUCKWORTH, L. TAMMY",C00575522,JUSTICE 2016,J,Joint fundraising committee,S,Senate,False
S6IL00292,"DUCKWORTH, L. TAMMY",C00590430,MIDWEST SENATE VICTORY 2016,J,Joint fundraising committee,N,PAC - Nonqualified,False
S6IL00292,"DUCKWORTH, L. TAMMY",C00583278,OFF THE SIDELINES SENATE 2016,J,Joint fundraising committee,S,Senate,False
S6IL00292,"DUCKWORTH, L. TAMMY",C00611384,SECURE OUR SENATE 2016,J,Joint fundraising committee,S,Senate,False
S6IL00292,"DUCKWORTH, L. TAMMY",C00610634,SILICON VALLEY VICTORY 2016,J,Joint fundraising committee,N,PAC - Nonqualified,False
S6IL00292,"DUCKWORTH, L. TAMMY",C00574889,TAMMY FOR ILLINOIS,P,Principal campaign committee,S,Senate,True
S6IL00292,"DUCKWORTH, L. TAMMY",C00625434,WOMEN MAKE THE MAJORITY 2016,J,Joint fundraising committee,S,Senate,False
S6IL00292,"DUCKWORTH, L. TAMMY",C00614768,WOMEN ON THE ROAD 2016,J,Joint fundraising committee,N,PAC - Nonqualified,False
S6AR00173,"DUNBAR, ETHAN N SR.",C00916502,FRIENDS OF NOEL DBA ETHANFORARKANSAS,P,Principal campaign committee,S,Senate,True
S6TX00354,"DUNCAN, ALEXANDER",C00897611,DUNCAN FOR SENATE,P,Principal campaign committee,S,Senate,True
S6KY00419,"DUNCAN, JAMES D",C00933697,FORGE AHEAD KY - JAMES D. DUNCAN FOR U.S. SENATE,P,Principal campaign committee,S,Senate,True
S4TX00664,"DUNN, VICTOR D.",C00833426,DUNN FOR U.S. SENATE,P,Principal campaign committee,S,Senate,True
S6NC00449,"DUPRE, MARGOT",C00921965,MARGOT DUPRE FOR US SENATE,P,Principal campaign committee,S,Senate,True
S6IL00151,"DURBIN, RICHARD J.",C00565770,BOOKER DURBIN VICTORY FUND,J,Joint fundraising committee,S,Senate,False
S6IL00151,"DURBIN, RICHARD J.",C00527705,DURBIN HOYER FUND,J,Joint fundraising committee,N,PAC - Nonqualified,False
S6IL00151,"DURBIN, RICHARD J.",C00551630,DURBIN SENATE VICTORY,U,Unauthorized,N,PAC - Nonqualified,False
S6IL00151,"DURBIN, RICHARD J.",C00148999,FRIENDS OF DICK DURBIN COMMITTEE,P,Principal campaign committee,S,Senate,True
S6IL00151,"DURBIN, RICHARD J.",C00544890,ILLINOIS COLORADO VICTORY FUND,J,Joint fundraising committee,S,Senate,False
S6IL00151,"DURBIN, RICHARD J.",C00365239,ILLINOIS SENATE 2002,J,Joint fundraising committee,N,PAC - Nonqualified,False
S6IL00151,"DURBIN, RICHARD J.",C00436782,ILLINOIS SENATE 2008,J,Joint fundraising committee,N,PAC - Nonqualified,False
S6IL00151,"DURBIN, RICHARD J.",C00577544,ILLINOIS SENATE VICTORY,J,Joint fundraising committee,N,PAC - Nonqualified,False
