committee_id,candidate_name,fec_candidate_id,state,party,party_normalized,source_scope,status,row_count,pages_fetched,total_pages_reported,fetched_at,error
C00933978,"PELTOLA, MARY",S6AK00276,AK,DEM,DEM,selected,ok,200,2,80,2026-05-03T14:08:10.810908+00:00,
C00570994,"SULLIVAN, DAN",S4AK00214,AK,REP,REP,selected,ok,200,2,35,2026-05-03T14:08:13.918153+00:00,
C00901777,"SWEETSER, KYLE",S6AL00435,AL,DEM,DEM,selected,ok,200,2,2,2026-05-03T14:08:16.879401+00:00,
C00781443,"BRITT, KATIE BOYD",S2AL00145,AL,REP,REP,selected,ok,200,2,73,2026-05-03T14:08:20.231465+00:00,
C00905471,"SHOFFNER, HALLIE",S6AR00199,AR,DEM,DEM,selected,ok,200,2,24,2026-05-03T14:08:37.201507+00:00,
