state,state_name,polymarket_event_slug,polymarket_event_url,top_1_entity_name,top_1_entity_type,top_1_yes_probability,top_1_market_slug,top_1_embed_url,top_1_fec_candidate_id,top_1_matched_candidate_name,top_1_match_status,top_2_entity_name,top_2_entity_type,top_2_yes_probability,top_2_market_slug,top_2_embed_url,top_2_fec_candidate_id,top_2_matched_candidate_name,top_2_match_status,data_pulled_at
KY,Kentucky,kentucky-senate-election-winner,https://polymarket.com/event/kentucky-senate-election-winner,Republican,party,0.94,will-the-republicans-win-the-kentucky-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-republicans-win-the-kentucky-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,Democrat,party,0.029,will-the-democrats-win-the-kentucky-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-democrats-win-the-kentucky-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,2026-05-03T09:51:06.834624+00:00
LA,Louisiana,louisiana-senate-election-winner,https://polymarket.com/event/louisiana-senate-election-winner,Republican,party,0.91,will-the-republicans-win-the-louisiana-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-republicans-win-the-louisiana-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,Democrat,party,0.08,will-the-democrats-win-the-louisiana-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-democrats-win-the-louisiana-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,2026-05-03T09:51:06.835381+00:00
MA,Massachusetts,massachusetts-senate-election-winner,https://polymarket.com/event/massachusetts-senate-election-winner,Democrat,party,0.945,will-the-democrats-win-the-massachusetts-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-democrats-win-the-massachusetts-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,Republican,party,0.04,will-the-republicans-win-the-massachusetts-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-republicans-win-the-massachusetts-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,2026-05-03T09:51:06.836137+00:00
ME,Maine,maine-senate-election-winner,https://polymarket.com/event/maine-senate-election-winner,Democrat,party,0.715,will-the-democrats-win-the-maine-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-democrats-win-the-maine-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,Republican,party,0.295,will-the-republicans-win-the-maine-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-republicans-win-the-maine-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,2026-05-03T09:51:06.836898+00:00
MI,Michigan,michigan-senate-election-winner,https://polymarket.com/event/michigan-senate-election-winner,Democrat,party,0.765,will-the-democrats-win-the-michigan-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-democrats-win-the-michigan-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,Republican,party,0.23,will-the-republicans-win-the-michigan-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-republicans-win-the-michigan-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,2026-05-03T09:51:06.837654+00:00
MN,Minnesota,minnesota-senate-election-winner,https://polymarket.com/event/minnesota-senate-election-winner,Democrat,party,0.9,will-the-democrats-win-the-minnesota-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-democrats-win-the-minnesota-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,Republican,party,0.055,will-the-republicans-win-the-minnesota-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-republicans-win-the-minnesota-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,2026-05-03T09:51:06.838413+00:00
MS,Mississippi,mississippi-senate-election-winner,https://polymarket.com/event/mississippi-senate-election-winner,Republican,party,0.87,will-the-republicans-win-the-mississippi-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-republicans-win-the-mississippi-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,Democrat,party,0.13,will-the-democrats-win-the-mississippi-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-democrats-win-the-mississippi-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,2026-05-03T09:51:06.839172+00:00
MT,Montana,montana-senate-election-winner,https://polymarket.com/event/montana-senate-election-winner,Republican,party,0.795,will-the-republicans-win-the-montana-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-republicans-win-the-montana-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,Independent,party,0.1325,will-an-independent-win-the-montana-senate-race-in-2026,https://embed.polymarket.com/market?market=will-an-independent-win-the-montana-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,2026-05-03T09:51:06.839929+00:00
NC,North Carolina,north-carolina-senate-election-winner,https://polymarket.com/event/north-carolina-senate-election-winner,Democrat,party,0.855,will-the-democrats-win-the-north-carolina-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-democrats-win-the-north-carolina-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,Republican,party,0.145,will-the-republicans-win-the-north-carolina-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-republicans-win-the-north-carolina-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,2026-05-03T09:51:06.840667+00:00
NE,Nebraska,nebraska-senate-election-winner,https://polymarket.com/event/nebraska-senate-election-winner,Republican,party,0.665,will-the-republicans-win-the-nebraska-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-republicans-win-the-nebraska-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,Independent,party,0.3,will-an-independent-win-the-nebraska-senate-race-in-2026,https://embed.polymarket.com/market?market=will-an-independent-win-the-nebraska-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,2026-05-03T09:51:06.841399+00:00
