state,state_name,polymarket_event_id,polymarket_event_slug,polymarket_event_title,polymarket_event_url,polymarket_market_id,polymarket_market_slug,polymarket_market_question,polymarket_market_url,polymarket_embed_url,market_entity_name,market_entity_type,market_party_normalized,yes_probability,no_probability,last_trade_price,best_bid,best_ask,volume,liquidity,active,closed,event_updated_at,data_pulled_at,matched_fec_candidate_id,matched_candidate_name,matched_party,matched_party_normalized,candidate_match_status,candidate_match_count,candidate_match_candidates
CO,Colorado,57640,colorado-senate-election-winner,Colorado Senate Election Winner,https://polymarket.com/event/colorado-senate-election-winner,630667,will-the-republicans-win-the-colorado-senate-race-in-2026,Will the Republicans win the Colorado Senate race in 2026?,https://polymarket.com/event/colorado-senate-election-winner#630667,https://embed.polymarket.com/market?market=will-the-republicans-win-the-colorado-senate-race-in-2026&height=300,Republican,party,REP,0.09,0.91,0.09,0.08,0.1,26031.000431,16508.6969,True,False,2026-05-03T12:06:22.350029Z,2026-05-03T12:08:24.869675+00:00,S2CO00241,"O'DEA, JOSEPH MATTHEW",REP,REP,party_market_selected_candidate,1,S2CO00241
DE,Delaware,57641,delaware-senate-election-winner,Delaware Senate Election Winner,https://polymarket.com/event/delaware-senate-election-winner,630679,will-the-democrats-win-the-delaware-senate-race-in-2026,Will the Democrats win the Delaware Senate race in 2026?,https://polymarket.com/event/delaware-senate-election-winner#630679,https://embed.polymarket.com/market?market=will-the-democrats-win-the-delaware-senate-race-in-2026&height=300,Democrat,party,DEM,0.93,0.07,0.93,0.92,0.94,7342.040472000005,12900.7475,True,False,2026-05-03T12:06:28.703658Z,2026-05-03T12:08:24.871001+00:00,S4DE00060,"BLUNT ROCHESTER, LISA",DEM,DEM,party_market_selected_candidate,1,S4DE00060
DE,Delaware,57641,delaware-senate-election-winner,Delaware Senate Election Winner,https://polymarket.com/event/delaware-senate-election-winner,630680,will-the-republicans-win-the-delaware-senate-race-in-2026,Will the Republicans win the Delaware Senate race in 2026?,https://polymarket.com/event/delaware-senate-election-winner#630680,https://embed.polymarket.com/market?market=will-the-republicans-win-the-delaware-senate-race-in-2026&height=300,Republican,party,REP,0.06,0.94,0.06,0.05,0.07,4183.719833999999,13089.9808,True,False,2026-05-03T12:06:28.703658Z,2026-05-03T12:08:24.871628+00:00,S6DE00131,"O'DONNELL, CHRISTINE",REP,REP,party_market_selected_candidate,1,S6DE00131
FL,Florida,57681,florida-senate-election-winner,Florida Senate Election Winner,https://polymarket.com/event/florida-senate-election-winner,631045,will-the-republicans-win-the-florida-senate-race-in-2026,Will the Republicans win the Florida Senate race in 2026?,https://polymarket.com/event/florida-senate-election-winner#631045,https://embed.polymarket.com/market?market=will-the-republicans-win-the-florida-senate-race-in-2026&height=300,Republican,party,REP,0.81,0.19,0.76,0.8,0.82,19115.490781000015,10364.2135,True,False,2026-05-03T12:06:26.640179Z,2026-05-03T12:08:24.872801+00:00,S8FL00273,"SCOTT, RICK SEN",REP,REP,party_market_selected_candidate,1,S8FL00273
FL,Florida,57681,florida-senate-election-winner,Florida Senate Election Winner,https://polymarket.com/event/florida-senate-election-winner,631044,will-the-democrats-win-the-florida-senate-race-in-2026,Will the Democrats win the Florida Senate race in 2026?,https://polymarket.com/event/florida-senate-election-winner#631044,https://embed.polymarket.com/market?market=will-the-democrats-win-the-florida-senate-race-in-2026&height=300,Democrat,party,DEM,0.18,0.82,0.29,0.16,0.2,17124.372785999996,11283.0204,True,False,2026-05-03T12:06:26.640179Z,2026-05-03T12:08:24.872225+00:00,S6FL00756,"WEIL, JOSHUA JOSEPH",DEM,DEM,party_market_selected_candidate,1,S6FL00756
GA,Georgia,57642,georgia-senate-election-winner,Georgia Senate Election Winner,https://polymarket.com/event/georgia-senate-election-winner,630692,will-the-democrats-win-the-georgia-senate-race-in-2026,Will the Democrats win the Georgia Senate race in 2026?,https://polymarket.com/event/georgia-senate-election-winner#630692,https://embed.polymarket.com/market?market=will-the-democrats-win-the-georgia-senate-race-in-2026&height=300,Democrat,party,DEM,0.84,0.16,0.79,0.83,0.85,8952.356301000002,12194.3043,True,False,2026-05-03T12:06:28.535034Z,2026-05-03T12:08:24.873964+00:00,S0GA00559,"WARNOCK, RAPHAEL",DEM,DEM,party_market_selected_candidate,1,S0GA00559
GA,Georgia,57642,georgia-senate-election-winner,Georgia Senate Election Winner,https://polymarket.com/event/georgia-senate-election-winner,630693,will-the-republicans-win-the-georgia-senate-race-in-2026,Will the Republicans win the Georgia Senate race in 2026?,https://polymarket.com/event/georgia-senate-election-winner#630693,https://embed.polymarket.com/market?market=will-the-republicans-win-the-georgia-senate-race-in-2026&height=300,Republican,party,REP,0.147,0.853,0.171,0.134,0.16,15034.871756000004,16747.74745,True,False,2026-05-03T12:06:28.535034Z,2026-05-03T12:08:24.873390+00:00,S6GA00366,"CLEMENT, CHRISTINA LOREN REV DR TRUSTE",REP,REP,party_market_selected_candidate,1,S6GA00366
IA,Iowa,57647,iowa-senate-election-winner,Iowa Senate Election Winner,https://polymarket.com/event/iowa-senate-election-winner,630734,will-the-republicans-win-the-iowa-senate-race-in-2026,Will the Republicans win the Iowa Senate race in 2026?,https://polymarket.com/event/iowa-senate-election-winner#630734,https://embed.polymarket.com/market?market=will-the-republicans-win-the-iowa-senate-race-in-2026&height=300,Republican,party,REP,0.605,0.395,0.61,0.6,0.61,51866.32212800015,25945.0333,True,False,2026-05-03T12:06:24.973345Z,2026-05-03T12:08:24.877828+00:00,S4IA00129,"ERNST, JONI K",REP,REP,party_market_selected_candidate,1,S4IA00129
IA,Iowa,57647,iowa-senate-election-winner,Iowa Senate Election Winner,https://polymarket.com/event/iowa-senate-election-winner,630733,will-the-democrats-win-the-iowa-senate-race-in-2026,Will the Democrats win the Iowa Senate race in 2026?,https://polymarket.com/event/iowa-senate-election-winner#630733,https://embed.polymarket.com/market?market=will-the-democrats-win-the-iowa-senate-race-in-2026&height=300,Democrat,party,DEM,0.405,0.595,0.4,0.4,0.41,61614.84068700017,29404.3776,True,False,2026-05-03T12:06:24.973345Z,2026-05-03T12:08:24.877265+00:00,S0IA00176,"GREENFIELD, THERESA",DEM,DEM,party_market_selected_candidate,1,S0IA00176
ID,Idaho,57643,idaho-senate-election-winner,Idaho Senate Election Winner,https://polymarket.com/event/idaho-senate-election-winner,630706,will-the-republicans-win-the-idaho-senate-race-in-2026,Will the Republicans win the Idaho Senate race in 2026?,https://polymarket.com/event/idaho-senate-election-winner#630706,https://embed.polymarket.com/market?market=will-the-republicans-win-the-idaho-senate-race-in-2026&height=300,Republican,party,REP,0.91,0.09,0.91,0.9,0.92,10591.102478000004,12262.7921,True,False,2026-05-03T12:06:33.178375Z,2026-05-03T12:08:24.874752+00:00,S8ID00027,"CRAPO, MICHAEL D",REP,REP,party_market_selected_candidate,1,S8ID00027
