party_normalized,selected_candidate_count,states_represented,total_receipts,total_disbursements,cash_on_hand,debts_owed_by_committee,ie_support_amount,ie_oppose_amount,ie_total_amount,ie_net_support_minus_oppose,candidates_with_nonzero_ie,suspect_schedule_a_candidate_count,total_receipts_share_of_selected_total,cash_on_hand_share_of_selected_total,ie_total_amount_share_of_selected_total,outside_to_receipts_ratio
DEM,50,50,399033884.17,229957557.65,233382881.75,11353572.49,5445394.430000001,6558992.34,12004386.77,-1113597.9100000006,22,36,0.6491170968446464,0.5331068312569655,0.358742100809637,0.03008362759711349
REP,50,50,215699399.1,89130057.57,204395942.43,82717536.95,12845030.86,8613024.450000001,21458055.310000002,4232006.41,22,37,0.35088290315535364,0.46689316874303455,0.641257899190363,0.09948129387255211
