state,selected_candidate_count,combined_total_receipts,combined_total_disbursements,combined_cash_on_hand,combined_ie_total_amount,suspect_schedule_a_candidate_count,leading_candidate_name,leading_candidate_party,leading_fec_candidate_id,leading_committee_id,leading_total_receipts,leading_cash_on_hand,leading_ie_total_amount,runner_up_candidate_name,runner_up_candidate_party,runner_up_fec_candidate_id,runner_up_committee_id,runner_up_total_receipts,runner_up_cash_on_hand,runner_up_ie_total_amount,leading_receipts_share,leading_cash_share,receipts_gap_between_top_two,cash_gap_between_top_two
IA,2,10434937.129999999,4791463.640000001,7571548.89,648560.1,2,"ARENHOLZ, ASHLEY HINSON",REP,S6IA00314,C00706267,7267266.37,6516143.25,648560.1,"WAHLS, ZACH P",DEM,S6IA00272,C00907923,3167670.76,1055405.64,0.0,0.6964360474302159,0.8606090173446664,4099595.6100000003,5460737.61
KY,2,9910810.64,9117960.19,4485928.09,10756165.05,2,"BARR, GARLAND ANDY",REP,S6KY00286,C00467571,7968106.41,4174374.09,10756165.05,"MCGRATH, AMY",DEM,S6KY00344,C00922302,1942704.23,311554.0,0.0,0.8039812987487368,0.9305485969125288,6025402.18,3862820.09
OK,2,8487320.36,136199.21000000002,8351121.15,0.0,0,"HERN, KEVIN",REP,S6OK04247,C00943142,8284047.86,8216286.65,0.0,"PRIEST, JIM",DEM,S6OK04197,C00933051,203272.5,134834.5,0.0,0.9760498612780066,0.9838543235598971,8080775.36,8081452.15
CA,2,7794665.83,4227848.159999999,9964896.53,14.58,1,"SCHIFF, ADAM",DEM,S4CA00555,C00343871,7793490.82,9964396.84,14.58,"BRADLEY, JAMES",REP,S8CA00515,C00674085,1175.01,499.69,0.0,0.9998492546023618,0.9999498549735569,7792315.8100000005,9963897.15
CO,2,7303685.71,4410893.13,4328425.5600000005,194.01,2,"HICKENLOOPER, JOHN W.",DEM,S0CO00575,C00716720,6818283.07,4036008.7,194.01,"JOSHI, JANAK",REP,S6CO00440,C00910794,485402.64,292416.86,0.0,0.9335400427573984,0.9324426732199594,6332880.430000001,3743591.8400000003
AR,2,6995803.88,4080858.24,10365815.47,1944562.0,2,"COTTON, THOMAS",REP,S4AR00103,C00499988,5406039.51,9787085.59,665400.0,"SHOFFNER, HALLIE",DEM,S6AR00199,C00905471,1589764.37,578729.88,1279162.0,0.7727545829943991,0.9441693823631224,3816275.1399999997,9208355.709999999
PA,2,6079435.279999999,6247008.85,2728136.75,7352.210000000001,2,"MCCORMICK, DAVE",REP,S2PA00661,C00851980,4117088.57,731455.65,0.0,"FETTERMAN, JOHN KARL",DEM,S6PA00274,C00765800,1962346.71,1996681.1,7352.210000000001,0.6772156261855954,0.2681154637867768,2154741.86,-1265225.4500000002
TN,2,5887011.94,2197900.11,5759065.61,559123.33,1,"HAGERTY, BILL",REP,S0TN00169,C00718627,5880481.66,5674879.45,559123.33,"JOHNSON, GLORIA",DEM,S4TN00526,C00847400,6530.28,84186.16,0.0,0.9988907309741246,0.9853819758792434,5873951.38,5590693.29
MA,2,5655560.18,3345856.88,4160041.3600000003,0.0,2,"MOULTON, SETH",DEM,S6MA00296,C00547240,4255419.17,3331467.45,0.0,"DEATON, JOHN",REP,S6MA00304,C00926139,1400141.01,828573.91,0.0,0.7524310651045004,0.8008255595804942,2855278.16,2502893.54
MS,2,5013542.33,2465054.71,3018251.4699999997,544025.63,2,"HYDE-SMITH, CINDY",REP,S8MS00261,C00675348,3394174.57,2458624.57,209871.12999999998,"COLOM, SCOTT",DEM,S6MS00133,C00918359,1619367.76,559626.9,334154.5,0.6770012790537264,0.814585727676296,1774806.8099999998,1898997.67
MT,2,4981787.4,2361204.29,4379005.61,0.0,1,"DAINES, STEVE",REP,S2MT00096,C00491357,4709051.07,4275067.25,0.0,"NEILL, REILLY",DEM,S6MT00238,C00892505,272736.33,103938.36,0.0,0.945253318116305,0.9762643921344507,4436314.74,4171128.89
NE,2,4867649.16,4282083.75,1072534.52,416191.64,1,"RICKETTS, PETE",REP,S6NE00129,C00832436,4866649.16,1072534.52,416191.64,"FORBES, WILLIAM",DEM,S6NE00160,C00943969,1000.0,0.0,0.0,0.9997945620222144,1.0,4865649.16,1072534.52
NM,2,4661149.21,1767178.74,4179420.9299999997,310.65,1,"LUJAN, BEN RAY",DEM,S0NM00058,C00443689,4658613.41,4175921.38,310.65,"DOMENICI, NELLA LOUISE LOUISE",REP,S4NM00183,C00865956,2535.8,3499.55,0.0,0.9994559710737088,0.9991626710832403,4656077.61,4172421.83
WV,2,4404724.609999999,2643213.31,4072876.51,337584.92,1,"CAPITO, SHELLEY MOORE",REP,S4WV00159,C00539825,3906185.63,4064753.28,337584.92,"SHREWSBURY, ZACHARY C",DEM,S4WV00357,C00853242,498538.98,8123.23,0.0,0.8868172192040856,0.9980055300031673,3407646.65,4056630.05
IN,2,3910043.11,1261833.97,9023044.21,0.0,1,"YOUNG, TODD CHRISTOPHER",REP,S6IN00191,C00459255,3599267.98,6790900.66,0.0,"BAYH, EVAN",DEM,S8IN00049,C00306860,310775.13,2232143.55,0.0,0.9205187458917813,0.7526174650096278,3288492.85,4558757.11
OR,2,3822159.3,1485184.83,6603973.12,120.0,1,"MERKLEY, JEFFREY ALAN",DEM,S8OR00207,C00437277,3798075.34,6580178.12,120.0,"SMITH, DAVID BROCK",REP,S6OR05218,C00941559,24083.96,23795.0,0.0,0.9936988602228065,0.996396866012683,3773991.38,6556383.12
SD,2,3652397.86,1638609.78,17398125.349999998,0.0,2,"THUNE, JOHN R.",REP,S2SD00068,C00409581,3459924.82,17391646.65,0.0,"BEAUDION, JULIAN C",DEM,S6SD01125,C00901694,192473.04,6478.7,0.0,0.9473022799328877,0.9996276207999617,3267451.78,17385167.95
KS,2,3519399.7199999997,405049.91000000003,4819368.45,139713.79,1,"MARSHALL, ROGER W",REP,S0KS00315,C00576173,3331963.38,4781258.78,139713.79,"SPIDEL NEUMANN, SANDY",DEM,S6KS00262,C00923474,187436.34,38109.67,0.0,0.9467419574608593,0.9920923933508342,3144527.04,4743149.11
WI,2,3328668.63,2481182.38,1780798.8599999999,98122.76000000001,2,"BALDWIN, TAMMY",DEM,S2WI00219,C00326801,2354257.76,567364.11,28271.019999999997,"JOHNSON, RON HAROLD MR.",REP,S0WI00197,C00482984,974410.87,1213434.75,69851.74,0.7072670853391615,0.318600894656907,1379846.8899999997,-646070.64
DE,2,3145378.08,1115199.32,4215378.61,0.0,1,"COONS, CHRISTOPHER A.",DEM,S0DE00092,C00475392,3044649.37,4129671.39,0.0,"SHULLI, JOHN",REP,S6DE00198,C00933663,100728.71,85707.22,0.0,0.9679756431697394,0.9796679662897468,2943920.66,4043964.17
MO,2,3137272.92,2218901.18,1487149.6,100433.68,2,"SCHMITT, ERIC",REP,S2MO00544,C00775015,2729849.42,1424246.37,100433.68,"KUNCE, LUCAS",DEM,S2MO00528,C00771972,407423.5,62903.23,0.0,0.8701345052250029,0.9577021504763206,2322425.92,1361343.1400000001
RI,2,2742473.13,889103.6699999999,3441900.03,0.0,2,"REED, JOHN F.",DEM,S6RI00163,C00238907,2602598.5,3429481.34,0.0,"MCKAY, RAYMOND TYLER MR",REP,S4RI00051,C00827964,139874.63,12418.69,0.0,0.9489969004728226,0.996391908570337,2462723.87,3417062.65
AL,2,2508621.27,1379255.8599999999,5238914.109999999,0.0,1,"BRITT, KATIE BOYD",REP,S2AL00145,C00781443,2354118.85,5223597.3,0.0,"SWEETSER, KYLE",DEM,S6AL00435,C00901777,154502.42,15316.81,0.0,0.9384114207083958,0.9970763387834966,2199616.43,5208280.49
WA,2,2359204.14,1965402.6600000001,1567249.95,0.0,2,"MURRAY, PATTY",DEM,S2WA00189,C00257642,2232288.58,1567249.95,0.0,"SMILEY, TIFFANY",REP,S2WA00387,C00776765,126915.56,0.0,0.0,0.9462040788043039,1.0,2105373.02,1567249.95
NY,2,2211577.06,1005942.0599999999,1975737.65,0.0,1,"GILLIBRAND, KIRSTEN",DEM,S0NY00410,C00413914,2198878.25,1967801.67,0.0,"SAPRAICONE, MICHAEL",REP,S4NY00404,C00846451,12698.81,7935.98,0.0,0.9942580296071618,0.9959832824970462,2186179.44,1959865.69
NV,2,2099254.05,2116961.0300000003,3741935.31,7352.209999999999,2,"CORTEZ MASTO, CATHERINE",DEM,S6NV00200,C00575548,1842748.74,3339755.42,7352.209999999999,"BROWN, SAM",REP,S2NV00308,C00845032,256505.31,402179.89,0.0,0.8778112110823367,0.8925208864714446,1586243.43,2937575.53
UT,2,2047902.2,2135081.11,846399.24,85917.36,1,"LEE, MIKE",REP,S0UT00165,C00473827,2047902.2,846399.24,85917.36,"GLEICH, CAROLINE",DEM,S4UT00308,C00865253,0.0,0.0,0.0,1.0,1.0,2047902.2,846399.24
WY,2,1565195.88,1287245.39,1161403.29,16606.94,1,"HAGEMAN, HARRIET",REP,S6WY00209,C00788943,1555542.88,1159580.5,16606.94,"BYRD, JAMES WILLARD MR.",DEM,S6WY00217,C00938738,9653.0,1822.79,0.0,0.9938327207965817,0.9984305279520949,1545889.88,1157757.71
HI,2,1185777.2899999998,508980.09,2333545.96,0.0,1,"SCHATZ, BRIAN",DEM,S4HI00136,C00540732,1185717.89,2333473.53,0.0,"MCDERMOTT, ROBERT",REP,S2HI00155,C00800656,59.4,72.43,0.0,0.9999499062762452,0.9999689613998431,1185658.49,2333401.0999999996
ID,2,1054887.93,599099.66,3027976.85,0.0,1,"CRAPO, MICHAEL D",REP,S8ID00027,C00330886,1047393.27,3028068.4,0.0,"ROTH, DAVID JORDAN",DEM,S6ID00138,C00839720,7494.66,-91.55,0.0,0.9928953021578322,1.000030234709357,1039898.61,3028159.9499999997
ND,2,1009946.37,1033041.6,2331656.99,0.0,1,"CRAMER, KEVIN MR.",REP,S8ND00120,C00504704,989847.21,2331656.99,0.0,"HEITKAMP, HEIDI",DEM,S2ND00099,C00505552,20099.16,0.0,0.0,0.9800987848493381,1.0,969748.0499999999,2331656.99
VT,2,171506.55,267559.79000000004,1638233.39,0.0,1,"WELCH, PETER",DEM,S2VT00235,C00795252,153598.18,1632412.01,0.0,"MALLOY, GERALD",REP,S2VT00292,C00809699,17908.37,5821.38,0.0,0.8955820054685958,0.9964465502683962,135689.81,1626590.6300000001
