action_code,action_code_full,amendment_indicator,amendment_number,back_reference_schedule_name,back_reference_transaction_id,candidate,candidate_first_name,candidate_id,candidate_last_name,candidate_middle_name,candidate_name,candidate_office,candidate_office_district,candidate_office_state,candidate_party,candidate_prefix,candidate_suffix,category_code,category_code_full,committee,committee_id,conduit_committee_city,conduit_committee_id,conduit_committee_name,conduit_committee_state,conduit_committee_street1,conduit_committee_street2,conduit_committee_zip,disbursement_dt,dissemination_date,election_type,election_type_full,expenditure_amount,expenditure_date,expenditure_description,file_number,filer_first_name,filer_last_name,filer_middle_name,filer_prefix,filer_suffix,filing_date,filing_form,form_line_number,image_number,independent_sign_date,independent_sign_name,is_notice,line_number,link_id,memo_code,memo_code_full,memo_text,memoed_subtotal,most_recent,notary_commission_expiration_date,notary_sign_date,notary_sign_name,office_total_ytd,original_sub_id,payee_city,payee_first_name,payee_last_name,payee_middle_name,payee_name,payee_prefix,payee_state,payee_street_1,payee_street_2,payee_suffix,payee_zip,pdf_url,previous_file_number,report_type,report_year,schedule_type,schedule_type_full,sub_id,support_oppose_indicator,transaction_id,source_fec_candidate_id,source_candidate_name,source_state,source_party,source_party_normalized,source_scope,source_selected_candidate,source_selection_method,source_manual_override_reason,fetched_for_cycle,fetched_at
A,ADD,N,,,,"{'candidate_id': 'H6KS01179', 'idx': 65963, 'two_year_period': '2026'}",ROGER,H6KS01179,MARSHALL,W,"MARSHALL, ROGER W",S,00,KS,REP,,,,,"{'affiliated_committee_name': 'NONE', 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00448696', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2026, 'cycles': [2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024, 2026], 'cycles_has_activity': [2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024, 2026], 'cycles_has_financial': [2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024, 2026], 'designated_agent_city': 'ATHENS', 'designated_agent_first_name': 'MICHAEL', 'designated_agent_last_name': 'GOODE', 'designated_agent_middle_name': None, 'designated_agent_name': 'GOODE, MICHAEL', 'designated_agent_phone_number': '7065347780', 'designated_agent_prefix': None, 'designated_agent_state': 'GA', 'designated_agent_street1': '824 S. MILLEDGE AVE. STE. 101', 'designated_agent_street2': None, 'designated_agent_suffix': None, 'designated_agent_title': 'ASSISTANT TREASURER', 'designated_agent_zip': '30605', 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '2008-04-15', 'first_file_date': '2008-04-15', 'is_active': True, 'last_cycle_has_activity': 2026, 'last_cycle_has_financial': 2026, 'last_f1_date': '2025-01-07', 'last_file_date': '2026-04-22', 'name': 'SENATE CONSERVATIVES FUND', 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '300 INDEPENDENCE AVE. SE', 'street_2': None, 'treasurer_name': 'KILGORE, PAUL', 'zip': '20003'}",C00448696,,C00448696,,,,,,2025-03-25,2025-03-25,P2026,,67.85,2025-03-25,IE- MARSHALL - DONATION PROCESSING,1889362,PAUL,KILGORE,,,,2025-04-18,F3X,F3X-24,202504189756209544,2025-04-18,"KILGORE, PAUL",False,24,4041820251185330382,,,,False,True,,,,383.16,,WASHINGTON,,,,SENATE CONSERVATIVES FUND,,DC,300 INDEPENDENCE AVE SE,,,200031021,https://docquery.fec.gov/cgi-bin/fecimg/?202504189756209544,1889362,M4,2025,SE,ITEMIZED INDEPENDENT EXPENDITURES,4042220251186027053,S,E40E296F3C9D243C8B18,H6KS01179,"MARSHALL, ROGER W",KS,REP,REP,selected,True,highest_total_receipts,,2026,2026-05-03T13:29:19.495059+00:00
A,ADD,N,,,,"{'candidate_id': 'H6KS01179', 'idx': 65963, 'two_year_period': '2026'}",ROGER,H6KS01179,MARSHALL,W,"MARSHALL, ROGER W",S,00,KS,REP,,,,,"{'affiliated_committee_name': 'NONE', 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00448696', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2026, 'cycles': [2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024, 2026], 'cycles_has_activity': [2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024, 2026], 'cycles_has_financial': [2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024, 2026], 'designated_agent_city': 'ATHENS', 'designated_agent_first_name': 'MICHAEL', 'designated_agent_last_name': 'GOODE', 'designated_agent_middle_name': None, 'designated_agent_name': 'GOODE, MICHAEL', 'designated_agent_phone_number': '7065347780', 'designated_agent_prefix': None, 'designated_agent_state': 'GA', 'designated_agent_street1': '824 S. MILLEDGE AVE. STE. 101', 'designated_agent_street2': None, 'designated_agent_suffix': None, 'designated_agent_title': 'ASSISTANT TREASURER', 'designated_agent_zip': '30605', 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '2008-04-15', 'first_file_date': '2008-04-15', 'is_active': True, 'last_cycle_has_activity': 2026, 'last_cycle_has_financial': 2026, 'last_f1_date': '2025-01-07', 'last_file_date': '2026-04-22', 'name': 'SENATE CONSERVATIVES FUND', 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '300 INDEPENDENCE AVE. SE', 'street_2': None, 'treasurer_name': 'KILGORE, PAUL', 'zip': '20003'}",C00448696,,C00448696,,,,,,2025-03-19,2025-03-19,P2026,,88.65,2025-03-19,IE- MARSHALL - DONATION PROCESSING,1889362,PAUL,KILGORE,,,,2025-04-18,F3X,F3X-24,202504189756209536,2025-04-18,"KILGORE, PAUL",False,24,4041820251185330382,,,,False,True,,,,315.31,,WASHINGTON,,,,SENATE CONSERVATIVES FUND,,DC,300 INDEPENDENCE AVE SE,,,200031021,https://docquery.fec.gov/cgi-bin/fecimg/?202504189756209536,1889362,M4,2025,SE,ITEMIZED INDEPENDENT EXPENDITURES,4042220251186027038,S,EF961EC7ED7474C19B7F,H6KS01179,"MARSHALL, ROGER W",KS,REP,REP,selected,True,highest_total_receipts,,2026,2026-05-03T13:29:19.495338+00:00
A,ADD,N,,,,"{'candidate_id': 'H6KS01179', 'idx': 65963, 'two_year_period': '2026'}",ROGER,H6KS01179,MARSHALL,W,"MARSHALL, ROGER W",S,00,KS,REP,,,,,"{'affiliated_committee_name': 'NONE', 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00448696', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2026, 'cycles': [2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024, 2026], 'cycles_has_activity': [2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024, 2026], 'cycles_has_financial': [2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024, 2026], 'designated_agent_city': 'ATHENS', 'designated_agent_first_name': 'MICHAEL', 'designated_agent_last_name': 'GOODE', 'designated_agent_middle_name': None, 'designated_agent_name': 'GOODE, MICHAEL', 'designated_agent_phone_number': '7065347780', 'designated_agent_prefix': None, 'designated_agent_state': 'GA', 'designated_agent_street1': '824 S. MILLEDGE AVE. STE. 101', 'designated_agent_street2': None, 'designated_agent_suffix': None, 'designated_agent_title': 'ASSISTANT TREASURER', 'designated_agent_zip': '30605', 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '2008-04-15', 'first_file_date': '2008-04-15', 'is_active': True, 'last_cycle_has_activity': 2026, 'last_cycle_has_financial': 2026, 'last_f1_date': '2025-01-07', 'last_file_date': '2026-04-22', 'name': 'SENATE CONSERVATIVES FUND', 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '300 INDEPENDENCE AVE. SE', 'street_2': None, 'treasurer_name': 'KILGORE, PAUL', 'zip': '20003'}",C00448696,,C00448696,,,,,,2025-03-11,2025-03-11,P2026,,7.5,2025-03-11,IE- MARSHALL - DONATION PROCESSING,1889362,PAUL,KILGORE,,,,2025-04-18,F3X,F3X-24,202504189756209526,2025-04-18,"KILGORE, PAUL",False,24,4041820251185330382,,,,False,True,,,,226.66,,WASHINGTON,,,,SENATE CONSERVATIVES FUND,,DC,300 INDEPENDENCE AVE SE,,,200031021,https://docquery.fec.gov/cgi-bin/fecimg/?202504189756209526,1889362,M4,2025,SE,ITEMIZED INDEPENDENT EXPENDITURES,4042220251186027018,S,E9A19FAF081C54C5B9DE,H6KS01179,"MARSHALL, ROGER W",KS,REP,REP,selected,True,highest_total_receipts,,2026,2026-05-03T13:29:19.495426+00:00
A,ADD,N,,,,"{'candidate_id': 'H6KS01179', 'idx': 65963, 'two_year_period': '2026'}",ROGER,H6KS01179,MARSHALL,W,"MARSHALL, ROGER W",S,00,KS,REP,,,,,"{'affiliated_committee_name': 'NONE', 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00448696', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2026, 'cycles': [2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024, 2026], 'cycles_has_activity': [2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024, 2026], 'cycles_has_financial': [2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024, 2026], 'designated_agent_city': 'ATHENS', 'designated_agent_first_name': 'MICHAEL', 'designated_agent_last_name': 'GOODE', 'designated_agent_middle_name': None, 'designated_agent_name': 'GOODE, MICHAEL', 'designated_agent_phone_number': '7065347780', 'designated_agent_prefix': None, 'designated_agent_state': 'GA', 'designated_agent_street1': '824 S. MILLEDGE AVE. STE. 101', 'designated_agent_street2': None, 'designated_agent_suffix': None, 'designated_agent_title': 'ASSISTANT TREASURER', 'designated_agent_zip': '30605', 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '2008-04-15', 'first_file_date': '2008-04-15', 'is_active': True, 'last_cycle_has_activity': 2026, 'last_cycle_has_financial': 2026, 'last_f1_date': '2025-01-07', 'last_file_date': '2026-04-22', 'name': 'SENATE CONSERVATIVES FUND', 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '300 INDEPENDENCE AVE. SE', 'street_2': None, 'treasurer_name': 'KILGORE, PAUL', 'zip': '20003'}",C00448696,,C00448696,,,,,,2025-03-04,2025-03-04,P2026,,3.0,2025-03-04,IE- MARSHALL - DONATION PROCESSING,1889362,PAUL,KILGORE,,,,2025-04-18,F3X,F3X-24,202504189756209524,2025-04-18,"KILGORE, PAUL",False,24,4041820251185330382,,,,False,True,,,,219.16,,WASHINGTON,,,,SENATE CONSERVATIVES FUND,,DC,300 INDEPENDENCE AVE SE,,,200031021,https://docquery.fec.gov/cgi-bin/fecimg/?202504189756209524,1889362,M4,2025,SE,ITEMIZED INDEPENDENT EXPENDITURES,4042220251186027013,S,E3CC0B8158D984440B43,H6KS01179,"MARSHALL, ROGER W",KS,REP,REP,selected,True,highest_total_receipts,,2026,2026-05-03T13:29:19.495503+00:00
